# Renewables.ninja Wind power (Point API) - 51.049, 13.739 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW
# {"units": {"time": "UTC", "electricity": "kW"}, "params": {"lat": "51.04918760416288", "lon": "13.738869045636335", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "header": "true", "local_time": "false", "capacity": "2000", "height": "80", "turbine": "Vestas V90 2000", "raw": "false"}}
time,electricity
2019-01-01 00:00,655.452
2019-01-01 01:00,693.157
2019-01-01 02:00,790.139
2019-01-01 03:00,961.838
2019-01-01 04:00,1109.458
2019-01-01 05:00,1157.023
2019-01-01 06:00,1347.652
2019-01-01 07:00,1465.942
2019-01-01 08:00,1551.912
2019-01-01 09:00,1643.480
2019-01-01 10:00,1649.013
2019-01-01 11:00,1657.985
2019-01-01 12:00,1613.964
2019-01-01 13:00,1622.791
2019-01-01 14:00,1670.972
2019-01-01 15:00,1648.830
2019-01-01 16:00,1657.378
2019-01-01 17:00,1708.973
2019-01-01 18:00,1729.254
2019-01-01 19:00,1763.630
2019-01-01 20:00,1805.590
2019-01-01 21:00,1819.334
2019-01-01 22:00,1822.213
2019-01-01 23:00,1828.445
2019-01-02 00:00,1808.072
2019-01-02 01:00,1785.026
2019-01-02 02:00,1720.468
2019-01-02 03:00,1656.720
2019-01-02 04:00,1627.926
2019-01-02 05:00,1626.084
2019-01-02 06:00,1649.823
2019-01-02 07:00,1651.469
2019-01-02 08:00,1612.040
2019-01-02 09:00,1548.559
2019-01-02 10:00,1507.072
2019-01-02 11:00,1471.020
2019-01-02 12:00,1447.867
2019-01-02 13:00,1378.016
2019-01-02 14:00,1348.073
2019-01-02 15:00,1322.348
2019-01-02 16:00,1265.912
2019-01-02 17:00,1237.775
2019-01-02 18:00,1118.972
2019-01-02 19:00,951.891
2019-01-02 20:00,876.916
2019-01-02 21:00,925.917
2019-01-02 22:00,939.998
2019-01-02 23:00,920.015
2019-01-03 00:00,880.665
2019-01-03 01:00,828.973
2019-01-03 02:00,794.769
2019-01-03 03:00,695.283
2019-01-03 04:00,661.908
2019-01-03 05:00,686.490
2019-01-03 06:00,859.260
2019-01-03 07:00,898.921
2019-01-03 08:00,1065.682
2019-01-03 09:00,1160.720
2019-01-03 10:00,1188.542
2019-01-03 11:00,1216.428
2019-01-03 12:00,1128.091
2019-01-03 13:00,938.004
2019-01-03 14:00,754.780
2019-01-03 15:00,759.261
2019-01-03 16:00,681.287
2019-01-03 17:00,592.641
2019-01-03 18:00,542.880
2019-01-03 19:00,453.292
2019-01-03 20:00,372.927
2019-01-03 21:00,347.331
2019-01-03 22:00,319.576
2019-01-03 23:00,248.821
2019-01-04 00:00,202.341
2019-01-04 01:00,168.145
2019-01-04 02:00,167.435
2019-01-04 03:00,201.711
2019-01-04 04:00,260.231
2019-01-04 05:00,304.671
2019-01-04 06:00,348.133
2019-01-04 07:00,393.039
2019-01-04 08:00,476.521
2019-01-04 09:00,571.792
2019-01-04 10:00,730.512
2019-01-04 11:00,893.999
2019-01-04 12:00,1112.880
2019-01-04 13:00,1270.883
2019-01-04 14:00,1297.244
2019-01-04 15:00,1284.514
2019-01-04 16:00,1292.085
2019-01-04 17:00,1177.540
2019-01-04 18:00,1036.074
2019-01-04 19:00,925.644
2019-01-04 20:00,814.093
2019-01-04 21:00,829.897
2019-01-04 22:00,891.478
2019-01-04 23:00,861.968
2019-01-05 00:00,932.797
2019-01-05 01:00,956.298
2019-01-05 02:00,1111.666
2019-01-05 03:00,1339.342
2019-01-05 04:00,1270.778
2019-01-05 05:00,1299.788
2019-01-05 06:00,1274.215
2019-01-05 07:00,1247.248
2019-01-05 08:00,1119.019
2019-01-05 09:00,1075.147
2019-01-05 10:00,1056.859
2019-01-05 11:00,1104.591
2019-01-05 12:00,1026.109
2019-01-05 13:00,874.498
2019-01-05 14:00,733.845
2019-01-05 15:00,758.138
2019-01-05 16:00,794.094
2019-01-05 17:00,817.323
2019-01-05 18:00,816.158
2019-01-05 19:00,753.186
2019-01-05 20:00,685.564
2019-01-05 21:00,650.290
2019-01-05 22:00,609.854
2019-01-05 23:00,557.811
2019-01-06 00:00,490.564
2019-01-06 01:00,486.003
2019-01-06 02:00,466.147
2019-01-06 03:00,437.976
2019-01-06 04:00,409.143
2019-01-06 05:00,412.301
2019-01-06 06:00,412.251
2019-01-06 07:00,395.331
2019-01-06 08:00,336.924
2019-01-06 09:00,333.974
2019-01-06 10:00,390.721
2019-01-06 11:00,421.737
2019-01-06 12:00,412.629
2019-01-06 13:00,331.515
2019-01-06 14:00,287.963
2019-01-06 15:00,315.181
2019-01-06 16:00,311.886
2019-01-06 17:00,277.480
2019-01-06 18:00,238.974
2019-01-06 19:00,209.268
2019-01-06 20:00,157.245
2019-01-06 21:00,111.052
2019-01-06 22:00,77.071
2019-01-06 23:00,68.861
2019-01-07 00:00,75.058
2019-01-07 01:00,82.643
2019-01-07 02:00,93.139
2019-01-07 03:00,98.676
2019-01-07 04:00,103.860
2019-01-07 05:00,108.431
2019-01-07 06:00,116.605
2019-01-07 07:00,115.128
2019-01-07 08:00,117.164
2019-01-07 09:00,149.390
2019-01-07 10:00,229.567
2019-01-07 11:00,350.648
2019-01-07 12:00,499.434
2019-01-07 13:00,634.955
