
time,electricity
2019-01-01 00:00,1374.694
2019-01-01 01:00,1453.745
2019-01-01 02:00,1569.947
2019-01-01 03:00,1627.977
2019-01-01 04:00,1688.342
2019-01-01 05:00,1744.699
2019-01-01 06:00,1711.566
2019-01-01 07:00,1728.186
2019-01-01 08:00,1714.269
2019-01-01 09:00,1687.308
2019-01-01 10:00,1707.625
2019-01-01 11:00,1762.811
2019-01-01 12:00,1802.910
2019-01-01 13:00,1812.406
2019-01-01 14:00,1817.263
2019-01-01 15:00,1831.447
2019-01-01 16:00,1858.066
2019-01-01 17:00,1864.500
2019-01-01 18:00,1867.229
2019-01-01 19:00,1865.275
2019-01-01 20:00,1852.934
2019-01-01 21:00,1800.643
2019-01-01 22:00,1731.877
2019-01-01 23:00,1690.287
2019-01-02 00:00,1648.059
2019-01-02 01:00,1597.008
2019-01-02 02:00,1565.018
2019-01-02 03:00,1545.358
2019-01-02 04:00,1554.970
2019-01-02 05:00,1572.850
2019-01-02 06:00,1569.219
2019-01-02 07:00,1542.382
2019-01-02 08:00,1434.261
2019-01-02 09:00,1301.039
2019-01-02 10:00,1258.078
2019-01-02 11:00,1326.811
2019-01-02 12:00,1360.162
2019-01-02 13:00,1337.814
2019-01-02 14:00,1197.272
2019-01-02 15:00,1081.955
2019-01-02 16:00,926.191
2019-01-02 17:00,806.982
2019-01-02 18:00,691.790
2019-01-02 19:00,668.301
2019-01-02 20:00,640.083
2019-01-02 21:00,586.380
2019-01-02 22:00,522.466
2019-01-02 23:00,446.079
2019-01-03 00:00,384.731
2019-01-03 01:00,361.681
2019-01-03 02:00,358.392
2019-01-03 03:00,339.188
2019-01-03 04:00,311.049
2019-01-03 05:00,291.414
2019-01-03 06:00,264.593
2019-01-03 07:00,213.315
2019-01-03 08:00,164.671
2019-01-03 09:00,140.265
2019-01-03 10:00,166.595
2019-01-03 11:00,200.890
2019-01-03 12:00,202.462
2019-01-03 13:00,242.532
2019-01-03 14:00,367.030
2019-01-03 15:00,462.893
2019-01-03 16:00,475.386
